date,retail,grocery,parks,transit,workplaces,residential,contacts
2020-02-16,-2.0,-0.5,-0.5,3.0,-1.0,0.0,22.71055637147008
2020-02-23,-0.8571428571428571,0.14285714285714285,4.428571428571429,3.5714285714285716,1.5714285714285714,0.0,22.804490074327223
2020-03-01,1.2857142857142858,0.8571428571428571,1.5714285714285714,-7.428571428571429,-17.142857142857142,3.2857142857142856,21.91628752289865
2020-03-08,-0.2857142857142857,3.857142857142857,0.5714285714285714,1.2857142857142858,2.2857142857142856,0.42857142857142855,22.45326293432722
2020-03-15,-22.857142857142858,7.0,2.4285714285714284,-14.285714285714286,-8.571428571428571,4.571428571428571,18.356334850041506
2020-03-22,-63.714285714285715,-13.571428571428571,-11.142857142857142,-59.0,-50.714285714285715,20.714285714285715,9.107335271470081
2020-03-29,-78.0,-30.0,-29.0,-70.42857142857143,-61.42857142857143,25.428571428571427,6.405560942898651
2020-04-05,-77.28571428571429,-28.857142857142858,-27.142857142857142,-68.71428571428571,-60.42857142857143,25.714285714285715,6.709506121470081
2020-04-12,-74.42857142857143,-24.0,-11.571428571428571,-65.28571428571429,-60.0,24.0,7.502814358612936
2020-04-19,-76.71428571428571,-32.57142857142857,-24.285714285714285,-68.42857142857143,-61.714285714285715,25.857142857142858,6.855734898612937
2020-04-26,-69.0,-24.857142857142858,-7.571428571428571,-61.57142857142857,-53.142857142857146,22.428571428571427,8.319226535755792
2020-05-03,-68.85714285714286,-27.857142857142858,-25.571428571428573,-64.14285714285714,-54.57142857142857,23.428571428571427,7.966595634327222
2020-05-10,-59.142857142857146,-17.428571428571427,6.0,-54.42857142857143,-43.57142857142857,18.857142857142858,9.977947722898652
2020-05-17,-47.857142857142854,-12.428571428571429,0.14285714285714285,-45.142857142857146,-37.57142857142857,16.857142857142858,12.249500674327223
2020-05-24,-43.0,-11.142857142857142,23.857142857142858,-42.0,-42.142857142857146,16.428571428571427,13.36378446289865
2020-05-31,-35.42857142857143,-1.8571428571428572,39.714285714285715,-34.142857142857146,-28.285714285714285,12.571428571428571,14.774193325755792
2020-06-07,-38.42857142857143,-9.285714285714286,24.714285714285715,-37.57142857142857,-32.142857142857146,13.714285714285714,14.100758541470078
2020-06-14,-16.714285714285715,-5.857142857142857,28.0,-29.285714285714285,-21.285714285714285,9.428571428571429,16.932117378612936
2020-06-21,-13.142857142857142,-4.857142857142857,44.285714285714285,-26.285714285714285,-21.428571428571427,8.285714285714286,17.739820695755796
2020-06-28,-8.142857142857142,-1.4285714285714286,72.71428571428571,-22.285714285714285,-21.428571428571427,6.571428571428571,18.830198685755793
2020-07-05,-6.0,-3.857142857142857,49.57142857142857,-22.857142857142858,-23.714285714285715,6.428571428571429,19.01217885289865
2020-07-12,-5.857142857142857,-5.714285714285714,80.85714285714286,-21.714285714285715,-25.714285714285715,5.428571428571429,19.288637108612935
2020-07-19,-8.428571428571429,-7.428571428571429,102.28571428571429,-24.714285714285715,-29.428571428571427,5.714285714285714,18.71715715004151
2020-07-26,-13.571428571428571,-12.428571428571429,135.0,-30.714285714285715,-40.0,8.142857142857142,17.695517364327223
2020-08-02,-15.857142857142858,-8.714285714285714,111.0,-31.857142857142858,-35.285714285714285,8.714285714285714,17.127145910041506
2020-08-09,-14.571428571428571,-7.142857142857143,111.42857142857143,-32.714285714285715,-34.57142857142857,8.142857142857142,17.071771120041507
2020-08-16,-17.142857142857142,-11.428571428571429,94.71428571428571,-33.714285714285715,-34.714285714285715,8.571428571428571,16.689290195755795
2020-08-23,-10.571428571428571,-8.285714285714286,87.28571428571429,-30.571428571428573,-29.714285714285715,7.285714285714286,17.583808415755794
2020-08-30,-9.571428571428571,-7.857142857142857,51.285714285714285,-28.857142857142858,-27.0,7.0,17.846530540041506
2020-09-06,-6.0,-2.857142857142857,61.42857142857143,-19.428571428571427,-23.857142857142858,5.142857142857143,19.578029667184364
2020-09-13,-8.428571428571429,-4.0,81.0,-14.0,-21.857142857142858,3.0,20.175936745755795
2020-09-20,-9.571428571428571,-5.571428571428571,93.71428571428571,-12.0,-17.714285714285715,2.857142857142857,20.24307132289865
2020-09-27,-17.142857142857142,-6.714285714285714,32.0,-18.857142857142858,-17.428571428571427,5.142857142857143,18.450153278612937
2020-10-04,-15.0,-4.285714285714286,10.571428571428571,-17.714285714285715,-15.142857142857142,5.285714285714286,18.735835931470078
2020-10-11,-17.571428571428573,-4.714285714285714,13.714285714285714,-19.428571428571427,-14.857142857142858,5.714285714285714,18.22007463147008
2020-10-18,-19.857142857142858,-4.571428571428571,16.142857142857142,-20.142857142857142,-15.142857142857142,7.428571428571429,17.914754510041508
2020-10-25,-39.285714285714285,-3.5714285714285716,8.0,-27.571428571428573,-22.857142857142858,10.857142857142858,15.301772110041508
2020-11-01,-37.714285714285715,-2.7142857142857144,-0.7142857142857143,-33.857142857142854,-28.142857142857142,12.428571428571429,14.61576096004151
2020-11-08,-55.0,-12.571428571428571,48.42857142857143,-48.0,-45.142857142857146,17.285714285714285,11.45103594289865
2020-11-15,-55.57142857142857,-13.285714285714286,26.714285714285715,-49.714285714285715,-45.42857142857143,17.714285714285715,11.131993788612936
2020-11-22,-53.57142857142857,-9.857142857142858,3.0,-40.42857142857143,-28.428571428571427,13.857142857142858,12.168000487184365
2020-11-29,-51.285714285714285,-7.857142857142857,14.0,-37.57142857142857,-26.857142857142858,13.142857142857142,12.773899810041508
2020-12-06,-41.0,-2.5714285714285716,-7.857142857142857,-35.714285714285715,-24.285714285714285,12.571428571428571,13.87640962289865
2020-12-13,-39.42857142857143,-3.5714285714285716,-5.428571428571429,-34.42857142857143,-23.714285714285715,12.571428571428571,14.201711111470079
2020-12-20,-34.857142857142854,2.0,7.0,-33.142857142857146,-26.0,12.428571428571429,14.899295038612935
2020-12-27,-43.42857142857143,-6.857142857142857,-14.142857142857142,-51.857142857142854,-50.857142857142854,17.857142857142858,12.051778000041509
2021-01-03,-43.285714285714285,-5.142857142857143,18.285714285714285,-50.0,-53.142857142857146,18.571428571428573,12.456002080041507
2021-01-10,-41.857142857142854,-4.714285714285714,-9.714285714285714,-38.142857142857146,-23.714285714285715,13.142857142857142,13.382591875755793
2021-01-17,-46.42857142857143,-10.142857142857142,-12.285714285714286,-39.857142857142854,-25.142857142857142,12.285714285714286,12.75834425289865
2021-01-24,-46.0,-9.428571428571429,-6.142857142857143,-38.142857142857146,-24.857142857142858,12.0,13.064910625755793
2021-01-31,-44.42857142857143,-7.0,-9.0,-37.57142857142857,-25.285714285714285,12.142857142857142,13.31207725289865
2021-02-07,-44.142857142857146,-5.285714285714286,-5.857142857142857,-37.142857142857146,-24.714285714285715,12.0,13.385012642898651
2021-02-14,-41.42857142857143,-2.7142857142857144,7.142857142857143,-38.142857142857146,-28.571428571428573,13.428571428571429,13.607513968612935
2021-02-21,-34.857142857142854,1.1428571428571428,47.285714285714285,-33.42857142857143,-32.714285714285715,12.0,15.111784267184365
2021-02-28,-34.0,4.857142857142857,47.857142857142854,-26.714285714285715,-19.285714285714285,9.857142857142858,15.76559630289865
2021-03-07,-33.857142857142854,5.714285714285714,33.857142857142854,-28.285714285714285,-19.142857142857142,9.857142857142858,15.515736745755794
2021-03-14,-37.42857142857143,3.0,-0.8571428571428571,-33.0,-20.0,11.428571428571429,14.466467157184365
2021-03-21,-37.142857142857146,3.4285714285714284,13.857142857142858,-30.285714285714285,-19.285714285714285,10.714285714285714,14.907445504327223
2021-03-28,-34.0,5.428571428571429,38.142857142857146,-28.571428571428573,-19.857142857142858,10.571428571428571,15.48413903289865
2021-04-04,-37.285714285714285,8.285714285714286,86.71428571428571,-34.857142857142854,-30.285714285714285,11.571428571428571,14.572475165755794
