date,retail,grocery,parks,transit,workplaces,residential,contacts
2020-02-16,11.0,2.0,,,,,
2020-02-23,19.142857142857142,-0.42857142857142855,,15.0,-2.0,,24.80779237147008
2020-03-01,-5.714285714285714,-3.857142857142857,,-3.1666666666666665,-20.2,,21.838788423136744
2020-03-08,-3.4285714285714284,4.142857142857143,,-5.666666666666667,-1.6,,21.430209898136745
2020-03-15,-12.285714285714286,8.333333333333334,,-9.333333333333334,-1.4,,20.830961394803413
2020-03-22,-63.42857142857143,-3.857142857142857,,-40.0,-37.4,,15.819064821470079
2020-03-29,-72.28571428571429,-5.857142857142857,,-42.142857142857146,-35.8,,15.468854657184364
2020-04-05,-68.42857142857143,-8.166666666666666,,-38.714285714285715,-36.2,,16.029190920041508
2020-04-12,,,,-33.857142857142854,-45.2,,16.823000625755796
2020-04-19,,,,-36.714285714285715,-48.4,,16.356053740041506
2020-04-26,,,,-31.857142857142858,-34.2,,17.14986344575579
2020-05-03,,,,-34.857142857142854,-36.6,,16.659569215755795
2020-05-10,,,,-24.714285714285715,-28.0,,18.317230660041506
2020-05-17,-41.5,,,-22.285714285714285,-23.4,,18.71413551289865
2020-05-24,-36.0,,,-24.714285714285715,-40.2,,18.317230660041506
2020-05-31,-21.0,,,-15.857142857142858,-17.8,,19.764766005755792
2020-06-07,,,,-28.285714285714285,-28.8,,17.73354705289865
2020-06-14,-23.0,,,-30.0,-31.6,,17.45337892147008
2020-06-21,,,,-14.571428571428571,-14.0,,19.97489210432722
2020-06-28,,,,-8.428571428571429,-13.0,,20.978827908612935
2020-07-05,,,,-6.0,-11.2,,21.37573276147008
2020-07-12,,,,-13.142857142857142,-23.4,,20.208365547184364
2020-07-19,,,,-15.714285714285714,-27.6,,19.788113350041506
2020-07-26,,,,-20.142857142857142,-32.8,,19.064345677184363
2020-08-02,,,,-27.714285714285715,-42.4,,17.826936430041506
2020-08-09,,,,-24.428571428571427,-38.6,,18.363925348612938
2020-08-16,,,,-16.285714285714285,-28.0,,19.69472397289865
2020-08-23,,,,,,,
2020-08-30,,,,,,,
2020-09-06,,,,,,,
2020-09-13,,,,-5.666666666666667,-17.0,,21.430209898136745
2020-09-20,,,,-11.428571428571429,-13.6,,20.488533678612935
2020-09-27,,,,-15.714285714285714,-12.4,,19.788113350041506
2020-10-04,,,,-17.285714285714285,-12.2,,19.53129256289865
2020-10-11,,,,-30.714285714285715,-24.4,,17.336642200041506
2020-10-18,,,,-30.714285714285715,-22.4,,17.336642200041506
2020-10-25,,,,-22.571428571428573,-11.6,,18.667440824327223
2020-11-01,-38.0,,,-29.0,-14.4,,17.616810331470077
2020-11-08,-39.5,,,-31.285714285714285,-17.8,,17.24325282289865
2020-11-15,-39.5,,,-28.571428571428573,-17.6,,17.686852364327223
2020-11-22,-41.5,,,-31.714285714285715,-16.0,,17.17321079004151
2020-11-29,-38.5,,,-32.142857142857146,-15.6,,17.103168757184363
2020-12-06,,,,-31.285714285714285,-13.0,,17.24325282289865
2020-12-13,,,,-30.428571428571427,-25.4,,17.383336888612938
2020-12-20,,,,-21.0,-14.2,,18.92426161147008
2020-12-27,,,,-36.42857142857143,-50.4,,16.402748428612938
2021-01-03,,,,-38.42857142857143,-71.2,,16.075885608612936
2021-01-10,,,,-35.142857142857146,-47.2,,16.612874527184363
2021-01-17,-53.0,,,-27.285714285714285,-20.4,,17.89697846289865
2021-01-24,-47.0,,,-28.142857142857142,-21.8,,17.756894397184364
2021-01-31,-48.0,,,-35.714285714285715,-21.2,,16.519485150041508
2021-02-07,-43.0,,,-32.142857142857146,-33.2,,17.103168757184363
2021-02-14,-49.5,,,-23.857142857142858,-19.6,,18.457314725755793
2021-02-21,-40.5,,,-22.857142857142858,-30.2,,18.620746135755795
2021-02-28,-44.0,,,-19.0,-17.4,,19.25112443147008
2021-03-07,-44.5,,,-22.428571428571427,-16.0,,18.690788168612936
2021-03-14,-43.5,,,-25.142857142857142,-15.2,,18.247188627184364
2021-03-21,-53.5,,,-33.0,-23.4,,16.96308469147008
2021-03-28,-34.0,,,-19.142857142857142,-15.0,,19.227777087184364
2021-04-04,-41.5,,,-19.571428571428573,-28.4,,19.157735054327222
