Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
24/02/2020,0,0,0,2.28571428571429,1,0,1.03090037259212,14,0
25/02/2020,0,0,0,2.85714285714286,1,0,1.15453762067842,23,0
26/02/2020,0,0,0,3.71428571428571,1,0,1.13434032539263,35,0
27/02/2020,0,0,0,5.85714285714286,1,0,1.20179482370796,23,0
28/02/2020,0,3,0,8.57142857142857,1,0,0.858054733726927,7,0
29/02/2020,0,8,0,9.57142857142857,1,0,0.758642375695942,11,0
01/03/2020,0,10,0,11.1428571428571,1,0,0.77269665952864,51,0.0612244897959184
02/03/2020,1,12,0,13.4285714285714,1,0,1.03090037259212,78,0.122448979591837
03/03/2020,3,12,0,18.2857142857143,1,0,1.15453762067842,67,0.224489795918367
04/03/2020,5,14,0,20.7142857142857,1,0,1.13434032539263,76,0.387755102040816
05/03/2020,9,18,0,21.1428571428571,1,0,1.20179482370796,111,0.63265306122449
06/03/2020,10,20,0,22.2857142857143,0.965148564547806,0,0.858054733726927,193,1
07/03/2020,15,26,0,25.5714285714286,0.930297129095612,0,0.758642375695942,141,1.38775510204082
08/03/2020,17,34,0,25.8571428571429,0.895445693643419,0,0.77269665952864,265,1.89795918367347
09/03/2020,23,45,0,26.2857142857143,0.860594258191225,0,1.03090037259212,165,2.40816326530612
10/03/2020,30,69,0,23,0.825742822739032,0,1.15453762067842,458,3.04081632653061
11/03/2020,38,88,0,22.2857142857143,0.790891387286838,0,1.13434032539263,537,4.57142857142857
12/03/2020,43,121,0,23.4285714285714,0.756039951834644,0.173423153541956,1.20179482370796,845,6
13/03/2020,65,178,0,23.4285714285714,0.70266574104623,0.346846307083912,0.858054733726927,986,8.14285714285714
14/03/2020,83,243,0,23.5714285714286,0.649291530257815,0.520269460625868,0.758642375695942,1028,11.2244897959184
15/03/2020,112,334,0,25.2857142857143,0.595917319469401,0.693692614167824,0.77269665952864,1319,15.1836734693878
16/03/2020,136,453,0,25.2857142857143,0.542543108680987,0.86711576770978,1.03090037259212,1294,20.0612244897959
17/03/2020,161,565,0,25.5714285714286,0.489168897892572,0.86711576770978,1.15453762067842,1756,26.5714285714286
18/03/2020,183,672,0,25.1428571428571,0.435794687104158,0.86711576770978,1.13434032539263,2259,32.4897959183673
19/03/2020,205,803,0,24.2857142857143,0.382420476315743,0.86711576770978,1.20179482370796,2121,43.0612244897959
20/03/2020,230,976,0,23.4285714285714,0.375711597602345,0.86711576770978,0.858054733726927,1882,54.6734693877551
21/03/2020,251,1055,0,21.7142857142857,0.369002718888947,0.86711576770978,0.758642375695942,1801,67.6530612244898
22/03/2020,268,1143,1,19.7142857142857,0.362293840175549,0.86711576770978,0.77269665952864,2291,80.8163265306122
23/03/2020,303,1377,1,17.8571428571429,0.35558496146215,0.86711576770978,1.03090037259212,3062,94.5102040816327
24/03/2020,343,1658,3,15.8571428571429,0.348876082748752,0.86711576770978,1.15453762067842,4107,107.632653061225
25/03/2020,390,1899,6,14.2857142857143,0.342167204035354,0.86711576770978,1.13434032539263,4633,124.30612244898
26/03/2020,469,2180,9,12,0.335458325321956,0.86711576770978,1.20179482370796,5359,137.183673469388
27/03/2020,535,2434,9,10.4285714285714,0.348828948843521,0.864816181313022,0.858054733726927,4224,152.571428571429
28/03/2020,608,2590,11,8.57142857142857,0.362199572365087,0.862516594916265,0.758642375695942,2848,169.510204081633
29/03/2020,630,2716,16,6.42857142857143,0.375570195886652,0.860217008519507,0.77269665952864,5159,186.448979591837
30/03/2020,690,2955,23,5.57142857142857,0.388940819408217,0.85791742212275,1.03090037259212,6661,203.326530612245
31/03/2020,763,3215,31,5.14285714285714,0.402311442929783,0.855617835725992,1.15453762067842,6102,222.020408163265
01/04/2020,832,3413,39,4.57142857142857,0.415682066451348,0.853318249329235,1.13434032539263,6673,235.571428571429
02/04/2020,904,3563,44,3.85714285714286,0.429052689972914,0.851018662932477,1.20179482370796,7398,249.897959183673
03/04/2020,954,3731,53,3.28571428571429,0.430297928530307,0.851018662932477,0.858054733726927,5837,257.367346938775
04/04/2020,1004,3806,59,2.57142857142857,0.431543167087701,0.851018662932477,0.758642375695942,4812,261.551020408163
05/04/2020,1040,3871,67,2.71428571428571,0.432788405645094,0.851018662932477,0.77269665952864,6435,263.040816326531
06/04/2020,1088,4040,78,2.28571428571429,0.434033644202488,0.851018662932477,1.03090037259212,8173,264.183673469388
07/04/2020,1144,4185,88,2.42857142857143,0.435278882759881,0.851018662932477,1.15453762067842,8469,260
08/04/2020,1199,4350,99,3.28571428571429,0.436524121317275,0.851018662932477,1.13434032539263,8180,258.979591836735
09/04/2020,1270,4493,112,3.71428571428571,0.437769359874668,0.851018662932477,1.20179482370796,5702,254.448979591837
10/04/2020,1297,4586,119,3.42857142857143,0.450796440772123,0.84551819255819,0.858054733726927,4891,250.959183673469
11/04/2020,1321,4646,129,3.28571428571429,0.463823521669577,0.840017722183902,0.758642375695942,3250,241.122448979592
