Wave,Week,week_start_date,interpolated,nQ16_r1,nQ16_r2,nQ16_r3,nQ16_r4,nQ16_r5,nQ16_r6,nQ16_r7,nQ16_r8,nQ16_r9,nQ16_r10,nQ16_r11,nQ16_r12,nQ16_r13,nQ16_r14,nQ16_r15,nQ16_r16,tQ18_0_0,nQ23_0_0,nQ23_1_0,nQ23_2_0,nQ23_3_0,nQ23_4_0,nQ23_5_0,nQ23_6_0,nQ23_7_0,nQ23_8_0,nQ23_9_0,nQ23_10_0,nQ23_11_0,nQ23_12_0,nQ23_13_0,PAQ_nakupovani,PAQ_park_mesto,PAQ_MHD,PAQ_HO,PAQ_partHO,PAQ_work,Contacts,,Fear,Median
1,10,02.03.2020,0,0.357681979096325,0.821252977149628,0.794444249816377,0.30917525229528,0.26896870712188,0.593625751413176,0.064216941391783,0.080492862290485,0.029204083974452,0.126859165131508,0.163258599076697,0.04143429434714,NA,NA,NA,NA,22.3556425396767,0.761163121717211,0.893153076658691,0.873315832344392,0.897491557421522,0.678271871111402,0.619077811690317,0.77521693606887,0.555950102813455,0.638838060620814,0.86711576770978,0.558049186919762,0.534204288555938,0.005871466517405,0.005871466517405,,,,,,,22.35564254,,0.5,10
1,11,09.03.2020,0,0.275711732399067,0.737257146725051,0.682716387402164,0.19021388767253,0.197608510689941,0.465589749127943,0.046956113224032,0.023306819066539,0.012633690046187,0.064373118880118,0.086574307928733,0.024821531872639,NA,NA,NA,NA,16.5838520318341,0.761163121717211,0.893153076658691,0.873315832344392,0.897491557421522,0.678271871111402,0.619077811690317,0.77521693606887,0.555950102813455,0.638838060620814,0.86711576770978,0.558049186919762,0.534204288555938,0.005871466517405,0.005871466517405,0.74,,0.28,,,,16.58385203,,,10
2,12,16.03.2020,0,0.140578117942409,0.726308589850869,0.62308342913999,0.029700935965301,0.131291277822573,0.395710363750959,0.019730512553596,NA,NA,0.011130931424882,0.045224763330277,0.014439304549586,0.1692876697651,0.044884213474452,NA,NA,8.17043580956965,0.756781333208466,0.854813222254233,0.956101753346581,0.891645994328562,0.70455974557767,0.608849682015891,0.783848029082995,0.540230740666341,0.64382216508776,0.851018662932477,0.564897782045808,0.43765585018617,0.005442129030861,0.669673665362332,0.705,0.06,0.19,0.200692386815113,0.11,0.57,8.17043581,,0.5,4
2,13,23.03.2020,0,0.099797605003073,0.671649873632915,0.514642678942127,0.009114507627936,0.095677810114525,0.328370238254673,NA,NA,NA,NA,0.027629403986962,0.007277249426529,0.12315232765667,0.035325866280015,NA,NA,7.1799369324668,0.756781333208466,0.854813222254233,0.956101753346581,0.891645994328562,0.70455974557767,0.608849682015891,0.783848029082995,0.540230740666341,0.64382216508776,0.851018662932477,0.564897782045808,0.43765585018617,0.005442129030861,0.669673665362332,0.67,0.12,0.1,0.215346564881007,0.1,0.51,7.179936932,,,3
3,14,30.03.2020,0,0.148724814450945,0.709958307227699,0.557865480477694,0.016063920368598,0.121820752636881,0.398545755777249,0.039711139820944,NA,NA,0.013591324233322,0.036892659847123,0.012767360314665,0.169016407203535,0.066841587435063,NA,NA,9.56271458673022,0.713911429060027,0.822887151809427,0.946245528077228,0.86320813171497,0.763345280825406,0.569894497410055,0.743093703654058,0.52001900527251,0.63369860051504,0.812515370312464,0.502511615468366,0.441628710032193,0.013472396909196,0.543962689453892,0.67,0.13,0.115,0.222466810607303,0.11,0.52,9.562714587,,0.38,4
3,15,06.04.2020,0,0.127252400598674,0.67161082045135,0.519796084368366,0.017643096325772,0.102092869764421,0.399583195042625,0.035274690274372,NA,NA,0.013827578610545,0.023608179314985,0.015656576266424,0.135875922799495,0.061339259606697,NA,NA,9.34525019193559,0.713911429060027,0.822887151809427,0.946245528077228,0.86320813171497,0.763345280825406,0.569894497410055,0.743093703654058,0.52001900527251,0.63369860051504,0.812515370312464,0.502511615468366,0.441628710032193,0.013472396909196,0.543962689453892,0.67,0.14,0.13,0.227332421155836,0.11,0.51,9.345250192,,,5
4,16,13.04.2020,0,0.151650103573917,0.710167112462176,0.61645624976648,0.026289468917241,0.130301467557457,0.471070058697441,0.059194127249931,NA,NA,0.018609776457701,0.043951072262795,0.014880026038643,0.229582015282801,0.096946793571762,NA,NA,10.7712450991547,0.661463219414725,0.78490988990838,0.946299253750576,0.83492667823116,0.765190786150476,0.555730394154942,0.704842964662453,0.499322724912679,0.609560432694745,0.772186679160758,0.465409431757705,0.428178206333865,0.012595713651964,0.41826762887356,0.69,0.17,0.14,0.210078386925919,0.11,0.53,10.7712451,,0.31,5
4,17,20.04.2020,0,0.145945561964525,0.710716353560224,0.581548721129079,0.027187254331112,0.132920234314611,0.478516734015327,0.063904888510066,NA,NA,0.022819694417753,0.044672954434739,0.014504831827394,0.197778268273546,0.081344664446139,NA,NA,11.1137815925763,0.661463219414725,0.78490988990838,0.946299253750576,0.83492667823116,0.765190786150476,0.555730394154942,0.704842964662453,0.499322724912679,0.609560432694745,0.772186679160758,0.465409431757705,0.428178206333865,0.012595713651964,0.41826762887356,0.71,0.2,0.15,0.194553899828854,0.13,0.55,11.11378159,,,5
5,18,27.04.2020,0,0.187278282731906,0.757923962915649,0.662737445104401,0.051243491338818,0.170025976821864,0.554541001237578,0.094874087241109,NA,NA,0.039216631136597,0.05697950210749,0.016222775637819,0.27755281076459,0.120087394275375,0.009615080188175,0.04344552207034,12.841879184464,0.660099946474653,0.747766610736529,0.937479360547814,0.793834133238144,0.76877485975,0.513030162505014,0.665752408258669,0.4792775173305,0.570891840330459,0.733035056118502,0.439257473473293,0.408225329481868,0.013741590887639,0.344430430013608,0.72,0.22,0.17,0.184823940469549,0.11,0.6,12.84187918,,0.26,6
5,19,04.05.2020,0,0.192183382015783,0.732049894186226,0.61847454661474,0.061048542809431,0.16172997814941,0.5821528740664,0.091764047239749,NA,NA,0.045089422752865,0.055110358257743,0.015003705392552,0.243910799125416,0.117792791457982,0.010562537579941,0.047188933218787,13.5227244772591,0.660099946474653,0.747766610736529,0.937479360547814,0.793834133238144,0.76877485975,0.513030162505014,0.665752408258669,0.4792775173305,0.570891840330459,0.733035056118502,0.439257473473293,0.408225329481868,0.013741590887639,0.344430430013608,0.73,0.24,0.19,0.152940819194648,0.11,0.65,13.52272448,,,7
