date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0.619047619047619,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0.619047619047619,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-27,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804329004329,2.195670995671,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-28,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0541889483066,7.9458110516934,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-29,3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62081536426888,12.3791846357311,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-01,3,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6461776890619,16.3538223109381,0,2,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-02,6,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3528586951737,20.6471413048263,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-03,7,46,5,1,0,0,0,0,0,0,0,0,0,0,0,0,20.2681284087044,38.7318715912956,0,1,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-04,11,67,9,3,0,0,0,0,0,0,0,0,0,0,0,0,27.7904889213905,62.2095110786095,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-05,13,86,10,3,0,0,0,0,0,0,0,0,0,0,0,0,33.2536136421656,78.7463863578344,1,1,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-06,18,104,12,3,0,0,0,0,0,0,0,0,0,0,0,0,38.7923387190191,98.2076612809809,1,7,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-07,25,138,16,5,0,0,0,0,0,0,0,0,0,0,0,0,48.9232565287247,135.076743471275,0,4,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-08,34,216,32,9,0,0,0,0,0,0,0,0,0,0,0,0,70.0449735617245,220.955026438276,0,3,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-09,39,281,39,13,0,0,0,0,0,0,0,0,0,0,0,0,86.2038554959032,285.796144504097,3,3,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-10,42,335,47,13,0,0,0,0,0,0,0,0,0,0,0,0,97.7515114204354,339.248488579565,1,13,2,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-11,54,413,62,17,0,0,0,0,1.80416666666667,0,0,0,0,0,0,0,117.009105807956,428.990894192044,3,14,3,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-12,67,585,76,19,0,0,0,0,1.80416666666667,0.902083333333333,0,0,0,0,0,0,150.287859905519,596.712140094482,1,7,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
