Province/State,Country/Region,include
,Thailand,
,Japan,
,Singapore,
,Nepal,
,Malaysia,
British Columbia,Canada,
New South Wales,Australia,
Victoria,Australia,
Queensland,Australia,
,Cambodia,
,Sri Lanka,
,Germany,
,Finland,
,United Arab Emirates,
,Philippines,
,India,
,Italy,1
,Sweden,
,Spain,
South Australia,Australia,
,Belgium,
,Egypt,
From Diamond Princess,Australia,
,Lebanon,
,Iraq,
,Oman,
,Afghanistan,
,Bahrain,
,Kuwait,
,Algeria,
,Croatia,
,Switzerland,
,Austria,
,Israel,
,Pakistan,
,Brazil,
,Georgia,
,Greece,
,North Macedonia,
,Norway,
,Romania,
,Estonia,
,San Marino,
,Belarus,
,Iceland,
,Lithuania,
,Mexico,
,New Zealand,
,Nigeria,
Western Australia,Australia,
,Ireland,
,Luxembourg,
,Monaco,
,Qatar,
,Ecuador,
,Azerbaijan,
,Armenia,
,Dominican Republic,
,Indonesia,
,Portugal,
,Andorra,
Tasmania,Australia,
,Latvia,
,Morocco,
,Saudi Arabia,
,Senegal,
,Argentina,
,Chile,
,Jordan,
,Ukraine,
,Hungary,
Northern Territory,Australia,
,Liechtenstein,
,Poland,
,Tunisia,
,Bosnia and Herzegovina,
,Slovenia,
,South Africa,
,Bhutan,
,Cameroon,
,Colombia,
,Costa Rica,
,Peru,
,Serbia,
,Slovakia,
,Togo,
,Malta,
,Martinique,
,Bulgaria,
,Maldives,
,Bangladesh,
,Paraguay,
Ontario,Canada,
Alberta,Canada,
Quebec,Canada,
,Albania,
,Cyprus,
,Brunei,
Washington,US,
New York,US,
California,US,
Massachusetts,US,
Diamond Princess,US,
Grand Princess,US,
Georgia,US,
Colorado,US,
Florida,US,
New Jersey,US,
Oregon,US,
Texas,US,
Illinois,US,
Pennsylvania,US,
Iowa,US,
Maryland,US,
North Carolina,US,
South Carolina,US,
Tennessee,US,
Virginia,US,
Arizona,US,
Indiana,US,
Kentucky,US,
District of Columbia,US,
Nevada,US,
New Hampshire,US,
Minnesota,US,
Nebraska,US,
Ohio,US,
Rhode Island,US,
Wisconsin,US,
Connecticut,US,
Hawaii,US,
Oklahoma,US,
Utah,US,
,Burkina Faso,
,Holy See,
,Mongolia,
,Panama,
Kansas,US,
Louisiana,US,
Missouri,US,
Vermont,US,
Alaska,US,
Arkansas,US,
Delaware,US,
Idaho,US,
Maine,US,
Michigan,US,
Mississippi,US,
Montana,US,
New Mexico,US,
North Dakota,US,
South Dakota,US,
West Virginia,US,
Wyoming,US,
Hubei,China,
,Iran,
,"Korea, South",1
France,France,
Guangdong,China,
Henan,China,
Zhejiang,China,
Hunan,China,
Anhui,China,
Jiangxi,China,
Shandong,China,
Diamond Princess,Cruise Ship,
Jiangsu,China,
Chongqing,China,
Sichuan,China,
Heilongjiang,China,
Denmark,Denmark,
Beijing,China,
Shanghai,China,
Hebei,China,
Fujian,China,
Guangxi,China,
Shaanxi,China,
Yunnan,China,
Hainan,China,
Guizhou,China,
Tianjin,China,
Shanxi,China,
Gansu,China,
Hong Kong,China,
Liaoning,China,
Jilin,China,
,Czechia,
Xinjiang,China,
Inner Mongolia,China,
Ningxia,China,
,Taiwan*,
,Vietnam,
,Russia,
Qinghai,China,
Macau,China,
,Moldova,
,Bolivia,
Faroe Islands,Denmark,
St Martin,France,
,Honduras,
Channel Islands,United Kingdom,
New Brunswick,Canada,
Tibet,China,
,Congo (Kinshasa),
,Cote d'Ivoire,
Saint Barthelemy,France,
,Jamaica,
,Turkey,
Gibraltar,United Kingdom,
"Kitsap, WA",US,
"Solano, CA",US,
"Santa Cruz, CA",US,
"Napa, CA",US,
"Ventura, CA",US,
"Worcester, MA",US,
"Gwinnett, GA",US,
"DeKalb, GA",US,
"Floyd, GA",US,
"Fayette, GA",US,
"Gregg, TX",US,
"Monmouth, NJ",US,
"Burlington, NJ",US,
"Camden, NJ",US,
"Passaic, NJ",US,
"Union, NJ",US,
"Eagle, CO",US,
"Larimer, CO",US,
"Arapahoe, CO",US,
"Gunnison, CO",US,
"Kane, IL",US,
"Monroe, PA",US,
"Philadelphia, PA",US,
"Norfolk, VA",US,
"Arlington, VA",US,
"Spotsylvania, VA",US,
"Loudoun, VA",US,
"Prince George's, MD",US,
"Pottawattamie, IA",US,
"Camden, NC",US,
"Pima, AZ",US,
"Noble, IN",US,
"Adams, IN",US,
"Boone, IN",US,
"Dane, WI",US,
"Pierce, WI",US,
"Cuyahoga, OH",US,
"Weber, UT",US,
"Bennington County, VT",US,
"Carver County, MN",US,
"Charlotte County, FL",US,
"Cherokee County, GA",US,
"Collin County, TX",US,
"Jefferson County, KY",US,
"Jefferson Parish, LA",US,
"Shasta County, CA",US,
"Spartanburg County, SC",US,
"Harrison County, KY",US,
"Johnson County, IA",US,
"Berkshire County, MA",US,
"Davidson County, TN",US,
"Douglas County, OR",US,
"Fresno County, CA",US,
"Harford County, MD",US,
"Hendricks County, IN",US,
